Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
13,34800;0,80084;9412,82719;0,09234;0,00215;117,80760;0,21476;0,06172;0,00382;-0,00040
13,44800;0,80679;9467,64529;0,09296;0,00216;118,49368;0,21567;0,06198;0,00973;-0,00102
13,54800;0,81284;9516,66981;0,09276;0,00217;119,10726;0,21676;0,06230;-0,00078;0,00008
13,64800;0,81868;9567,70778;0,09274;0,00214;119,74603;0,21398;0,06150;0,00018;-0,00002
13,74800;0,82495;9619,26699;0,09296;0,00220;120,39133;0,22049;0,06337;-0,01757;0,00184
13,84800;0,83079;9666,45241;0,09282;0,00220;120,98188;0,22031;0,06332;-0,03390;0,00355
13,94800;0,83689;9720,66611;0,09290;0,00221;121,66040;0,22129;0,06360;-0,01733;0,00181
14,04800;0,84289;9767,63695;0,09276;0,00222;122,24827;0,22187;0,06376;-0,02801;0,00293
14,14800;0,84868;9818,02136;0,09261;0,00224;122,87887;0,22363;0,06427;-0,02408;0,00252
14,24800;0,85489;9868,35033;0,09283;0,00221;123,50877;0,22118;0,06357;-0,02268;0,00237
14,34800;0,86079;9915,51518;0,09323;0,00222;124,09906;0,22154;0,06367;-0,02873;0,00300
14,44800;0,86700;9970,34580;0,09279;0,00223;124,78530;0,22349;0,06423;-0,02315;0,00242
14,54800;0,87284;10017,56877;0,09230;0,00222;125,37633;0,22250;0,06395;-0,02311;0,00242
14,64800;0,87873;10069,18162;0,09270;0,00224;126,02230;0,22369;0,06429;-0,02086;0,00218
14,74800;0,88484;10118,38764;0,09254;0,00223;126,63814;0,22319;0,06414;-0,02136;0,00223
14,84800;0,89068;10166,43405;0,09303;0,00227;127,23947;0,22656;0,06511;-0,02968;0,00310
14,94800;0,89700;10219,50245;0,09250;0,00225;127,90366;0,22524;0,06473;-0,02336;0,00244
15,04800;0,90279;10267,27885;0,09258;0,00226;128,50161;0,22633;0,06505;-0,01686;0,00176
15,14800;0,90879;10322,14880;0,09252;0,00224;129,18835;0,22450;0,06452;-0,01208;0,00126
15,24800;0,91489;10370,09150;0,09233;0,00224;129,78838;0,22392;0,06435;-0,00650;0,00068
15,34800;0,92068;10419,81608;0,09248;0,00221;130,41071;0,22055;0,06338;-0,01710;0,00179
15,44800;0,92695;10472,01365;0,09276;0,00221;131,06400;0,22071;0,06343;-0,02209;0,00231
15,54800;0,93284;10519,10967;0,09253;0,00220;131,65344;0,21969;0,06314;-0,01773;0,00185
15,64800;0,93884;10574,03505;0,09290;0,00223;132,34086;0,22311;0,06412;-0,02608;0,00273
15,74800;0,94484;10621,80519;0,09306;0,00221;132,93874;0,22116;0,06356;-0,02315;0,00242
15,84800;0,95073;10673,91694;0,09246;0,00221;133,59095;0,22115;0,06356;-0,02415;0,00253
15,94800;0,95695;10725,06577;0,09294;0,00221;134,23111;0,22080;0,06346;-0,03118;0,00326
16,04800;0,96279;10773,27847;0,09252;0,00219;134,83452;0,21900;0,06294;-0,03037;0,00318
16,14800;0,96900;10828,51768;0,09270;0,00216;135,52588;0,21630;0,06217;-0,03422;0,00358
16,24800;0,97484;10875,51266;0,09278;0,00217;136,11405;0,21723;0,06243;-0,03599;0,00376
16,34800;0,98068;10928,31820;0,09243;0,00218;136,77495;0,21839;0,06277;-0,03796;0,00397
16,44800;0,98689;10977,54300;0,09294;0,00218;137,39103;0,21767;0,06256;-0,04091;0,00428
16,54800;0,99268;11026,50851;0,09238;0,00215;138,00386;0,21506;0,06181;-0,04050;0,00423
16,64800;0,99900;11080,66320;0,09273;0,00218;138,68164;0,21829;0,06273;-0,05084;0,00532
16,74800;1,00489;11128,87591;0,09283;0,00222;139,28506;0,22243;0,06392;-0,05158;0,00539
16,84800;1,01089;11182,48612;0,09279;0,00220;139,95602;0,21991;0,06320;-0,05591;0,00585
16,94800;1,01684;11230,35192;0,09250;0,00221;140,55509;0,22129;0,06360;-0,06363;0,00665
17,04800;1,02268;11280,82126;0,09229;0,00219;141,18675;0,21877;0,06287;-0,05540;0,00579
17,14800;1,02895;11333,16010;0,09256;0,00222;141,84180;0,22162;0,06369;-0,04783;0,00500
17,24800;1,03479;11380,92667;0,09271;0,00225;142,43963;0,22454;0,06453;-0,03305;0,00346
17,34800;1,04089;11436,51098;0,09264;0,00228;143,13531;0,22769;0,06544;-0,03762;0,00393
17,44800;1,04684;11485,49616;0,09266;0,00225;143,74839;0,22529;0,06475;0,00206;-0,00022
17,54800;1,05268;11538,34194;0,09264;0,00228;144,40979;0,22788;0,06549;0,00505;-0,00053
17,64800;1,05895;11590,70313;0,09255;0,00230;145,06512;0,22964;0,06600;0,01068;-0,00112
17,74800;1,06479;11639,65255;0,09285;0,00229;145,67775;0,22941;0,06593;0,01539;-0,00161
17,84800;1,07100;11697,18862;0,09284;0,00231;146,39786;0,23130;0,06647;0,00967;-0,00101
17,94800;1,07684;11748,72279;0,09272;0,00230;147,04284;0,23022;0,06616;0,01647;-0,00172
18,04800;1,08273;11806,99736;0,09284;0,00235;147,77218;0,23478;0,06747;0,01841;-0,00193
18,14800;1,08889;11862,87671;0,09279;0,00230;148,47155;0,23003;0,06611;0,01989;-0,00208
18,24800;1,09473;11917,18966;0,09256;0,00236;149,15131;0,23565;0,06772;0,01373;-0,00144
